CO,HC,Temp,Hum,CO2,TVOC,DD
177,41,33.6,46,633,35,1
179,42,33.6,46,627,34,3
180,43,33.4,46,629,34,4
178,39,33.4,46,626,34,0
177,39,33.4,46,602,30,0
180,44,33.7,46,588,28,4
176,35,33.8,46,584,28,0
181,44,33.8,46,575,26,3
175,39,33.8,46,581,27,0
177,37,33.8,45,744,52,0
181,39,33.8,45,749,53,0
179,39,33.8,45,748,53,0
181,39,33.8,45,717,48,0
180,39,33.8,45,683,43,0
180,39,33.8,45,650,38,6
179,43,33.8,45,574,26,2
176,39,33.8,45,614,32,0
181,44,33.8,45,592,29,3
177,42,33.8,44,508,16,0
175,39,33.8,44,527,19,0
172,37,33.8,44,534,20,0
174,41,33.8,43,492,14,0
175,39,33.8,44,448,7,0
181,42,33.8,43,487,13,10
175,42,33.8,43,515,17,0
176,40,33.8,43,524,18,0
173,41,33.8,43,520,18,0
173,38,33.8,43,531,19,0
173,39,33.8,43,534,20,0
169,48,33.8,43,459,8,5
175,38,33.8,43,530,19,1
176,35,33.8,43,400,0,0
173,38,33.8,43,418,2,0
175,38,33.8,43,552,23,0
177,39,33.8,43,565,25,0
179,43,33.8,43,575,26,0
175,39,33.8,43,686,43,0
181,40,33.8,44,692,44,0
175,39,33.8,44,712,47,0
175,39,33.8,44,712,47,0
175,39,33.8,44,668,40,0
176,41,33.8,43,746,52,2
176,41,33.8,44,746,52,1
175,38,33.8,44,640,36,0
179,43,33.8,44,678,42,1
183,39,33.8,44,715,47,0
184,37,33.8,44,776,57,0
182,42,33.8,44,737,51,1
181,39,33.8,44,638,36,0
182,41,33.8,44,715,47,0
181,42,33.8,44,726,49,3
186,40,33.8,44,671,41,0
184,42,33.8,44,710,47,4
181,41,33.8,44,700,45,0
186,40,33.8,44,672,41,0
180,37,33.8,44,697,45,0
184,37,33.8,44,697,45,0
181,41,33.8,44,690,44,0
180,41,33.8,43,686,43,2
177,43,33.8,44,600,30,0
183,41,33.8,44,683,43,27
181,44,33.8,44,682,42,34
181,38,33.8,44,679,42,1
181,42,33.8,44,683,43,13
180,39,33.8,44,690,44,0
179,39,33.8,45,706,46,0
181,39,33.8,45,710,47,0
182,39,33.8,45,708,46,0
185,43,33.8,45,714,47,4
183,39,33.8,45,730,50,0
184,37,33.8,46,754,53,0
184,41,33.8,46,690,44,0
191,43,33.8,47,825,64,3
188,40,33.8,47,830,65,0
186,39,33.8,48,834,66,0
192,41,33.8,48,832,65,64
185,39,33.8,48,832,65,0
186,39,33.8,49,853,69,1
186,43,33.8,49,759,54,0
192,39,33.8,49,865,70,0
194,40,33.8,49,891,74,0
192,43,33.8,49,891,74,0
187,39,33.8,50,900,76,1
191,43,33.8,50,918,78,6
182,43,33.8,50,783,58,0
